Company,Aviation,Engineering,Fire Domestic,Fire Industrial,Liability,Marine,Motor Private,Motor Commercial,Motor Commercial PSV,Personal Accident,Theft,Workmens' Compensation,Medical,Miscellaneous,Total,Unnamed: 17,quarter
TAKAFUL INSURANCE OF AFRICA,0.0,16022.352,1389.606,19454.535,24190.992,7082.891,75494.306,242793.4304,0.0,1224.029,14026.341,23599.472,10870.101,14036.28,450184.3354,,Q1_2026
TAUSI ASSURANCE COMPANY,0.0,106251.961,46246.558,517654.317,39912.794,69354.217,135456.82,124510.307,0.0,5190.59,83987.452,191823.362,2383.443,7675.594,1330447.415,,Q1_2026
THE HERITAGE INSURANCE COMPANY,19560.328,32858.573,60219.59,277468.746,83839.057,28426.636,367194.306,205898.808,0.0,81107.642,53546.529,189306.092,1824193.784,185945.197,3409565.288,,Q1_2026
THE KENYAN ALLIANCE INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
THE MONARCH INSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
TOTAL,1072126.3554889997,2381187.5032300004,768668.25046,9578455.045823999,2081082.6133900005,1547682.338,9549674.359616,8457196.362011999,982404.6012499994,848317.3582272258,2860338.76922,3767918.2003300004,35202970.16201654,1774179.6278700002,80872201.54693475,,Q1_2026
CONTINENTAL REINSURANCE,,,,,,,,,,,,,,,,,Q1_2026
CONTINENTAL REINSURANCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
EAST AFRICA REINSURANCE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
GHANA REINSURANCE COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
KENYA REINSURANCE CORPORATION,37117.9386,429012.00251,13385.78893,893574.2265199998,33883.2875,166192.39287,3802.09763,208668.00123,0.0,155819.0512,12906.04245,23664.94804,378275.92746,501974.6685799999,2858276.373519999,,Q1_2026
WAICA REINSURANCE KENYA LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Q1_2026
TOTAL,37117.9386,429012.00251,13385.78893,893574.2265199998,33883.2875,166192.39287,3802.09763,208668.00123,0.0,155819.0512,12906.04245,23664.94804,378275.92746,501974.6685799999,2858276.373519999,,Q1_2026
Amounts in Thousand Shillings,,,,,,,,,,,,,,,,,Q1_2026
